No,カテゴリ,サブカテゴリ,製品/技術名,提供元,概要,導入形態,地場適性,参考URL
1,A. 点検・診断,A-1. コンクリートひび割れ検出AI,ひびみっけ,富士フイルム,スマホ/カメラ撮影→クラウドAIでひび割れ自動検出。国交省点検支援技術カタログ掲載,クラウド,◎,https://www.fujifilm.com/jp/ja/business/inspection/infraservice/hibimikke
2,A. 点検・診断,A-1. コンクリートひび割れ検出AI,Markly,DataLabs,橋梁・トンネルのひび割れ点検DXツール。四国地整実証で工程を約1ヶ月短縮・コスト73%削減,クラウド,◎,https://digital-construction.jp/column/3030
3,A. 点検・診断,A-1. コンクリートひび割れ検出AI,InspectionEYE for インフラ Cloud Edition,キヤノンMJ,クラウド型。2025年11月にコンクリートひび割れ＋鋼材塗膜剥がれ・腐食検知にも対応拡大。検知対象12種類,クラウド,○,https://news.mynavi.jp/techplus/article/20251125-3715835/
4,A. 点検・診断,A-1. コンクリートひび割れ検出AI,ひび割れ検知AI,キヤノン（研究開発）,深層学習ベース。検出率90%超。データ蓄積で精度自動向上,—,○,https://global.canon/ja/technology/crack2019.html
5,A. 点検・診断,A-1. コンクリートひび割れ検出AI,スマートタイルセイバー,竹中工務店,ドローン撮影した外壁・構造物画像をAI解析しひび割れ・剥離を自動検出。足場不要の外壁検査,サービス,○,
6,A. 点検・診断,A-2. 鋼構造物 腐食・塗膜劣化診断,画像AIによる腐食進行予測,NTT,写真から数年後の腐食進行を平均誤差10%未満で予測。世界初。2025年度サービス化予定,サービス（予定）,○,https://group.ntt/jp/newsrelease/2025/04/30/250430a.html
7,A. 点検・診断,A-2. 鋼構造物 腐食・塗膜劣化診断,ドローン×画像AI鋼材点検,NTT東日本,ドローン撮影→AIで腐食深さ推定。2025年度から実地導入予定,サービス（予定）,○,https://www.nttedt.co.jp/post/kumagaya-20241003
8,A. 点検・診断,A-2. 鋼構造物 腐食・塗膜劣化診断,沿道施設錆自動検出,各社,走行しながらカメラ撮影→AIで標識・ガードレールの錆を自動検出。検出率97.5%,サービス,○,
9,A. 点検・診断,A-3. 橋梁総合診断AI,Dr.Bridge,日本海コンサルタント×BIPROGY,写真+諸元データで橋梁診断。健全度正答率92.9%・劣化要因96.4%。調書へワンステップ反映,サービス,◎,https://www.dr-bridge.ai/
10,A. 点検・診断,A-3. 橋梁総合診断AI,橋梁診断支援AI,NTTドコモ×NTTコムウェア,生成AIで点検データから診断結果案を自動生成。長崎県実証で診断作業時間57%削減,サービス（実証中）,○,https://www.docomo.ne.jp/corporate/technology/rd/service/018/
11,A. 点検・診断,A-3. 橋梁総合診断AI,劣化予測AI,国研・土木研究所,ひび割れ画像の時系列学習で3年後のひび割れ幅を90%超の精度で予測,研究段階,△,https://www.pwri.go.jp/caesar/activity/research/40-diagnosis-support-technology/ai-system.html
12,A. 点検・診断,A-3. 橋梁総合診断AI,AI劣化診断→工法提示,ショーボンド建設等,写真＋諸元データから中性化・塩害・ASR・凍害・疲労・乾燥収縮を判定し対策工法を自動提示,サービス,○,https://concom.jp/contents/countermeasure/column/vol58.html
13,A. 点検・診断,A-4. 道路舗装 損傷診断,マルチファインアイ,福田道路,路面画像からAIがひび割れ・わだち掘れの損傷レベルを自動判定。専用機材不要,サービス,◎,https://www.fukudaroad.co.jp/technology/multifineeye/
14,A. 点検・診断,A-4. 道路舗装 損傷診断,みちログ,アイシン,スマホ搭載車両の走行データから路面異常を検出。国交省カタログ掲載。月額利用型,クラウド月額,◎,https://www.aisin.com/jp/news/2024/006142.html
15,A. 点検・診断,A-4. 道路舗装 損傷診断,Miruroad,エコモット,国交省点検支援技術性能カタログ（令和8年版）掲載。IoTベース路面点検,クラウド,○,https://www.ecomott.co.jp/information/6302/
16,A. 点検・診断,A-4. 道路舗装 損傷診断,リアルタイム路面異常検知,インフロニア×アカリ,スマホ動画で走行中にポットホール・ひび割れをリアルタイム検出。2025年夏から自治体展開,サービス,○,https://www.infroneer.com/jp/news-article/2025/02/03/948.html
17,A. 点検・診断,A-4. 道路舗装 損傷診断,AI舗装診断,国際航業,路面性状調査のAI解析。専用車両の約1/3コストで70%相当の精度,サービス,○,https://www.kkc.co.jp/service/item/679/
18,A. 点検・診断,A-5. 非破壊検査AI高度化,電磁波レーダー×AI解析,各社,レーダー探査データをAIが自動解析。鉄筋位置・空洞・ひび割れ検出を自動化。熟練技術者と同等精度,機器＋ソフト,○,
19,A. 点検・診断,A-5. 非破壊検査AI高度化,iCOR（完全非破壊腐食探知）,KEYTEC,電荷移行抵抗から鉄筋の腐食速度を完全非破壊で測定,機器,○,https://www.key-t.co.jp/resources/icor/
20,A. 点検・診断,A-5. 非破壊検査AI高度化,レーダーによる塩分量推定,群馬大学等,電磁波の反射波形変化からコンクリート内部の塩分量を推定,研究段階,△,
21,A. 点検・診断,A-6. ドローン点検,ドローン×AI画像解析（汎用）,各社,高解像度カメラ搭載ドローンで橋梁・トンネル撮影→深層学習モデルがひび割れ・剥離・錆・漏水を自動検出,機器＋サービス,○,
22,B. 設計・積算,B-1. AI積算・数量拾い,積算AI,KK Generation,図面アップロードだけで数量拾い・見積書作成。作業時間50〜70%削減,クラウド月額,◎,https://prtimes.jp/main/html/rd/p/000000010.000143310.html
23,B. 設計・積算,B-1. AI積算・数量拾い,AI積算,大塚商会（CAD Japan）,CAD連携のAI積算。図面から建材数量を自動拾い出し,ソフト,○,https://www.cadjapan.com/products/items/ai_sekisan/
24,B. 設計・積算,B-1. AI積算・数量拾い,AI-OCR積算,各社,紙図面スキャン→AI数量自動算出。紙文化が残る企業に有効,クラウド,◎,
25,B. 設計・積算,B-2. 施工計画書・報告書自動生成,生成AIによる施工計画書作成,ChatGPT/Claude等,設計図書・仕様書をアップロードし初稿を生成。2週間→30分の事例あり,SaaS,◎,https://log-port.com/case/ai-civil-engineering-chatgpt-case-study-dx/
26,B. 設計・積算,B-2. 施工計画書・報告書自動生成,工程表AIエージェント,NITACO,設計図書アップロード→AIの質問に回答で工程表を最短15分で作成。全29業種対応。2026年3月製品版リリース,SaaS,◎,https://xtech.nikkei.com/atcl/nxt/column/18/00154/02769/
27,B. 設計・積算,B-2. 施工計画書・報告書自動生成,全体施工計画書作成支援,大成建設,生成AIで土木工事の全体施工計画書を自動生成支援,自社向け,△,https://www.taisei.co.jp/about_us/wn/2025/251128_10770.html
28,B. 設計・積算,B-2. 施工計画書・報告書自動生成,点検所見自動生成,学術研究（J-STAGE）,類似画像検索＋生成AIで点検調書の所見を自動生成,研究段階,△,https://www.jstage.jst.go.jp/article/jsceiii/5/3/5_706/_article/-char/ja/
29,B. 設計・積算,B-2. 施工計画書・報告書自動生成,工事写真台帳AI（Cheez等）,各社,工事写真の台帳作成時間を9割以上削減,SaaS,◎,
